source,source_url,collection_date,price_date,brand_raw,brand_normalized,model_raw,model_normalized,variant_raw,model_year,body_type_raw,body_type_normalized,powertrain_raw,fuel_type_raw,engine_raw,engine_capacity,horsepower,torque,transmission,drive_type,battery_capacity,electric_range,seats,length,width,height,wheelbase,trunk_capacity,fuel_consumption,warranty,official_price,market_price,starting_price,discounted_price,currency,notes,master_row
ContactCars,https://www.contactcars.com/en/new-cars/volkswagen-tiguan/year-2026,2026-09-10,,Volkswagen,Volkswagen,Tiguan,Tiguan,R-Line,2026,SUV,SUV,,Gas,,,,,Dual Clutch,,,,5,,,,,,,,"2,590,000","2,620,000",,,EGP,"Assembled Germany, Origin Germany",76
ContactCars,https://www.contactcars.com/en/new-cars/renault-austral/year-2026,2026-09-10,,Renault,Renault,Austral,Austral,Evolution Facelift,2026,SUV,SUV,,Gas,,,,,Dual Clutch-CVT,,,,5,,,,,,,,"1,550,000","1,550,000",,,EGP,"Assembled Spain, Origin Spain",113
ContactCars,https://www.contactcars.com/en/new-cars/renault-austral/year-2026,2026-09-10,,Renault,Renault,Austral,Austral,Techno Facelift,2026,SUV,SUV,,Gas,,,,,Dual Clutch-CVT,,,,5,,,,,,,,"1,690,000","1,690,000",,,EGP,"Assembled Spain, Origin Spain",114
ContactCars,https://www.contactcars.com/en/new-cars/renault-austral/year-2026,2026-09-10,,Renault,Renault,Austral,Austral,Iconic Facelift,2026,SUV,SUV,,Gas,,,,,Dual Clutch-CVT,,,,5,,,,,,,,"1,790,000","1,900,000",,,EGP,"Assembled Spain, Origin Spain",115
ContactCars,https://www.contactcars.com/en/new-cars/renault-austral/year-2026,2026-09-10,,Renault,Renault,Austral,Austral,Espirit Alpine,2026,SUV,SUV,,Gas,,,,,Dual Clutch-CVT,,,,5,,,,,,,,"1,890,000","1,890,000",,,EGP,"Assembled Spain, Origin Spain",116
Hatla2ee,https://eg.hatla2ee.com/en/new-car/renault/Austral,2026-09-10,,Renault,Renault,Austral,Austral,Evolution,2026,SUV,SUV,,,,1300cc,,,Automatic,,,,,,,,,,,,"1,400,000","1,400,000",,,EGP,"SIGNIFICANT_PRICE_CONFLICT: Hatla2ee's 4 matched trims are 100,000-150,000 EGP LOWER than ContactCars' 'Facelift'-suffixed trims, and Hatla2ee shows a 5th trim (Esprit Alpine/B/E) not seen on ContactCars at all - unresolved. Hatla2ee's own page also separately references a second 4-class Austral cohort priced 1,550,000-1,890,000 (matching ContactCars) in its 'Renault New Cars' widget - internal inconsistency on Hatla2ee's own site, not resolved.",128
Hatla2ee,https://eg.hatla2ee.com/en/new-car/renault/Austral,2026-09-10,,Renault,Renault,Austral,Austral,Techno,2026,SUV,SUV,,,,1300cc,,,Automatic,,,,,,,,,,,,"1,570,000","1,570,000",,,EGP,"SIGNIFICANT_PRICE_CONFLICT: Hatla2ee's 4 matched trims are 100,000-150,000 EGP LOWER than ContactCars' 'Facelift'-suffixed trims, and Hatla2ee shows a 5th trim (Esprit Alpine/B/E) not seen on ContactCars at all - unresolved. Hatla2ee's own page also separately references a second 4-class Austral cohort priced 1,550,000-1,890,000 (matching ContactCars) in its 'Renault New Cars' widget - internal inconsistency on Hatla2ee's own site, not resolved.",129
Hatla2ee,https://eg.hatla2ee.com/en/new-car/renault/Austral,2026-09-10,,Renault,Renault,Austral,Austral,Iconic,2026,SUV,SUV,,,,1300cc,,,Automatic,,,,,,,,,,,,"1,630,000","1,630,000",,,EGP,"SIGNIFICANT_PRICE_CONFLICT: Hatla2ee's 4 matched trims are 100,000-150,000 EGP LOWER than ContactCars' 'Facelift'-suffixed trims, and Hatla2ee shows a 5th trim (Esprit Alpine/B/E) not seen on ContactCars at all - unresolved. Hatla2ee's own page also separately references a second 4-class Austral cohort priced 1,550,000-1,890,000 (matching ContactCars) in its 'Renault New Cars' widget - internal inconsistency on Hatla2ee's own site, not resolved.",130
Hatla2ee,https://eg.hatla2ee.com/en/new-car/renault/Austral,2026-09-10,,Renault,Renault,Austral,Austral,Esprit Alpine,2026,SUV,SUV,,,,1300cc,,,Automatic,,,,,,,,,,,,"1,740,000","1,740,000",,,EGP,"SIGNIFICANT_PRICE_CONFLICT: Hatla2ee's 4 matched trims are 100,000-150,000 EGP LOWER than ContactCars' 'Facelift'-suffixed trims, and Hatla2ee shows a 5th trim (Esprit Alpine/B/E) not seen on ContactCars at all - unresolved. Hatla2ee's own page also separately references a second 4-class Austral cohort priced 1,550,000-1,890,000 (matching ContactCars) in its 'Renault New Cars' widget - internal inconsistency on Hatla2ee's own site, not resolved.",131
Hatla2ee,https://eg.hatla2ee.com/en/new-car/renault/Austral,2026-09-10,,Renault,Renault,Austral,Austral,Esprit Alpine / B/E,2026,SUV,SUV,,,,1300cc,,,Automatic,,,,,,,,,,,,"1,770,000","1,770,000",,,EGP,"SIGNIFICANT_PRICE_CONFLICT: Hatla2ee's 4 matched trims are 100,000-150,000 EGP LOWER than ContactCars' 'Facelift'-suffixed trims, and Hatla2ee shows a 5th trim (Esprit Alpine/B/E) not seen on ContactCars at all - unresolved. Hatla2ee's own page also separately references a second 4-class Austral cohort priced 1,550,000-1,890,000 (matching ContactCars) in its 'Renault New Cars' widget - internal inconsistency on Hatla2ee's own site, not resolved.",132
ContactCars,https://www.contactcars.com/en/new-cars/hyundai-tucson/year-2026,2026-09-10,,Hyundai,Hyundai,Tucson,Tucson,SHADOW,2026,SUV,SUV,,Gas,,,,,Dual Clutch,,,,5,,,,,,,,"1,700,000","1,760,000",,,EGP,"Assembled Czechia, Origin South Korea",133
ContactCars,https://www.contactcars.com/en/new-cars/hyundai-tucson/year-2026,2026-09-10,,Hyundai,Hyundai,Tucson,Tucson,BLAZE,2026,SUV,SUV,,Gas,,,,,Dual Clutch,,,,5,,,,,,,,"1,850,000","2,000,000",,,EGP,"Assembled Czechia, Origin South Korea",134
ContactCars,https://www.contactcars.com/en/new-cars/hyundai-tucson/year-2026,2026-09-10,,Hyundai,Hyundai,Tucson,Tucson,REDLINE,2026,SUV,SUV,,Gas,,,,,Dual Clutch,,,,5,,,,,,,,"1,950,000","1,950,000",,,EGP,"Assembled Czechia, Origin South Korea",135
