query,file,license,author
Alfa Romeo Giulia,Alfa_Romeo_Giulia_Super_(cropped).jpg,Public domain,Kelebek
Alfa Romeo Stelvio,Alfa_Romeo_Stelvio_Suv_Free_Car_Picture_-_Give_Credit_Via_Link.(cropped).jpg,CC BY 2.0,Motor Verso
Alfa Romeo Tonale,2023-AR-Tonale-01_(bearb_Sp_2).jpg,CC BY 4.0,Matthias v.d. Elbe
Arcfox T1,Arcfox_T1_010.jpg,CC0,JustAnotherCarDesigner
Audi A3,Audi_A3_8Y_Sedan_IMG_5936.jpg,CC BY-SA 4.0,Alexander Migl
Audi A5,Audi_A5_B10_DSC_7314.jpg,CC BY-SA 4.0,Alexander Migl
Audi A6,Audi_A6_C9_IAA_2025_DSC_1920.jpg,CC BY-SA 4.0,Alexander-93
Audi Q3,Audi_Q3_F3_DSC_7494.jpg,CC BY-SA 4.0,Alexander Migl
Audi Q5,Audi_Q5_2.0_TDI_quattro_S_line_(GU)_–_f_13102025.jpg,CC BY-SA 3.0 de,M 93
Audi Q7,Audi_Q7_4M_FL2_3.0_V6_MHEV_quattro_Satellite_Silver_Metallic_01_(cropped).jpg,CC BY-SA 4.0,Ethan Llamas
Avatr 07,Avatr_07_IMG001.jpg,CC0,Quzhouliulian
Avatr 11,2022_Avatr_11_(front).jpg,CC BY-SA 4.0,User3204
Avatr 12,(CHN-Guangdong)_Showcar_Avatr_12_No-plate_2024-05-26.jpg,CC BY 2.0,S5A-0043
BAIC BJ30,Beijing_BJ30_II_003.jpg,CC0,JustAnotherCarDesigner
BAIC X3,Beijing_X3_IMG001.jpg,CC BY-SA 4.0,Anonymousfox36
BAIC X7,Beijing_X7_IMG001.jpg,CC BY-SA 4.0,Anonymousfox36
Bestune B70,Bestune_B70_III_facelift_003.jpg,CC0,JustAnotherCarDesigner
Bestune B70S,Bestune_B70S_img01.jpg,CC BY-SA 4.0,FAWFTW
Bestune T55,2021_FAW_Bestune_T55.jpg,CC BY-SA 4.0,User3204
BMW 5 Series,BMW_G60_520i_1X7A2443.jpg,CC BY-SA 4.0,Alexander-93
BMW iX,BMW_iX_IAA_2021_1X7A0204.jpg,CC BY-SA 4.0,Alexander Migl
BMW iX3,BMW_iX3_50_xDrive_M_Sportpaket_Pro_(NA5)_–_f_17052026.jpg,CC BY-SA 3.0 de,M 93
BMW X1,BMW_U11_1X7A6826.jpg,CC BY-SA 4.0,Alexander-93
BMW X2,BMW_U10_1X7A2456.jpg,CC BY-SA 4.0,Alexander-93
BMW X6,BMW_G06_IMG_3142.jpg,CC BY-SA 4.0,Alexander Migl
BMW X7,BMW_G07_1X7A1696.jpg,CC BY-SA 4.0,Alexander-93
BYD Seagull,2023_ВYD_Seagull_(front).jpg,CC BY-SA 4.0,User3204
Cadillac Escalade,2026_Cadillac_Escalade_ESV.jpg,CC BY-SA 4.0,BuickCentury04
Cadillac Escalade IQ,2025_Cadillac_Escalade_IQ_(cropped).jpg,CC BY-SA 4.0,Wlb5V
Cadillac Vistiq,"2026_Cadillac_Vistiq_Sport_900e4_in_Stellar_Black,_front_left.jpg",CC BY-SA 4.0,Mr.choppers
Changan UNI-T,"2023_Chang'an_UNI-T,_front_8.17.23.jpg",CC BY-SA 4.0,Kevauto
Changan UNI-V,Changan_UNI-V_IMG01.jpg,CC BY-SA 4.0,Hangzhou car freak
Chery Arrizo 8,Chery_Arrizo_8_004_(cropped).jpg,CC BY-SA 4.0,JustAnotherCarDesigner
Chery eQ7,Chery_eQ7_003.jpg,CC0,JustAnotherCarDesigner
Chery Tiggo 7,Chery_Tiggo_7_II_014_(cropped).jpg,CC BY-SA 4.0,JustAnotherCarDesigner
Chery Tiggo 9,Chery_Tiggo_9_01.jpg,CC BY-SA 4.0,Make Chiffon great again
Citroën C3,Citroën_C3_Hybrid_110_ë-DSC6_Max_(IV)_–_f_05042026.jpg,CC BY-SA 3.0 de,M 93
Citroën C3 Aircross,Citroën_ë-C3_Aircross_IMG_3525.jpg,CC BY-SA 4.0,Alexander Migl
CUPRA Formentor,Cupra_Formentor_IMG_9668.jpg,CC BY-SA 4.0,Alexander-93
CUPRA Terramar,Cupra_Terramar_VZ_DSC_8241.jpg,CC BY-SA 4.0,Alexander Migl
Deepal G318,Deepal_G318_005.jpg,CC0,Zoerides
Deepal S 05,Deepal_S05_004.jpg,CC0,KitsuneDP
Deepal S 07,2023_Chang'an_Shenlan_S7.jpg,CC BY-SA 4.0,User3204
Exeed LX,Exeed_LX_IMG001.jpg,CC BY-SA 4.0,Zotyefan
Exeed VX,Exeed_VX_IMG002.jpg,CC BY-SA 4.0,Anonymousfox36
Forthing T5,Forthing_T5_001.jpg,CC BY-SA 4.0,Jengtingchen
GAC Emkoo,2022_GAC_Trumpchi_Emkoo.jpg,CC BY-SA 4.0,User3204
GAC Empow,2021_GAC_Trumpchi_Empow_(front).jpg,CC BY-SA 4.0,User3204
GAC GS4,Trumpchi_GS4_II_009_(cropped).jpg,CC BY-SA 4.0,Jengtingchen
Geely EX2,"2025_Geely_Xingyuan,_front_7.28.25.jpg",CC BY-SA 4.0,Kevauto
Geely EX5,Geely_Galaxy_E5_003_(cropped).jpg,CC0,JustAnotherCarDesigner
Genesis G80,Genesis_G80_IAA_2021_1X7A0229.jpg,CC BY-SA 4.0,Alexander Migl
Genesis GV60,Genesis_GV60_1X7A5760.jpg,CC BY-SA 4.0,Alexander Migl
Genesis GV70,Genesis_GV70_IAA_2021_1X7A0228.jpg,CC BY-SA 4.0,Alexander Migl
Haval H6,Haval_H6_III_IMG001_(cropped).jpg,CC BY-SA 4.0,Zotyefan
Honda ZR-V,Honda_ZR-V_e-HEV_Advance_–_f_14072024.jpg,CC BY-SA 3.0 de,M 93
Hongqi E-HS9,Hongqi_E-HS9_IMG_0753_(cropped).jpg,CC BY-SA 4.0,Alexander-93
Hongqi HS3,Hongqi_HS3_006.jpg,CC0,JustAnotherCarDesigner
Hyundai Elantra,"2023_Hyundai_Elantra_Limited_in_Silver,_front_left,_04-04-2026.jpg",CC0,Cutlass
Hyundai Santa Fe,"2024_Hyundai_Santa_Fe_Luxury_AWD_in_Hampton_Grey,_front_left,_2024-06-30.jpg",CC BY-SA 4.0,Elise240SX
Hyundai Tucson,"2022_Hyundai_Tucson_Preferred,_Front_Right,_05-24-2021.jpg",CC BY-SA 4.0,SsmIntrigue
IM LS7,IM_LS7_GIMS_2024_1X7A2396.jpg,CC BY-SA 4.0,Alexander-93
Jeep Grand Cherokee,"2022_Jeep_Grand_Cherokee_Summit_Reserve_4x4_in_Bright_White,_Front_Left,_01-16-2022.jpg",CC BY-SA 4.0,Elise240SX
Jetour Dashing,"Moscow,_black_Jetour_Dashing,_April_2025_02.jpg",CC0,Retired electrician
Jetour T2,Jetour_T2_Lightning_i-DM_Panda_White.jpg,CC BY-SA 4.0,Ethan Llamas
KGM Actyon,KGM_Actyon_J120_Royal_Copper_(5).jpg,CC BY-SA 4.0,Damian B Oh
KGM Torres,KGM_Torres_Hybrid_Automesse_Ludwigsburg_2025_DSC_2567.jpg,CC BY-SA 4.0,Alexander Migl
Kia EV3,Kia_EV3_GT-Line_Automesse_Ludwigsburg_2025_DSC_2635_(cropped).jpg,CC BY-SA 4.0,Alexander Migl
Kia EV5,2024_Kia_EV5_Earth_Exclusive_AWD_(Thailand)_front_view.png,CC BY 3.0,iMoD Official
Kia EV6,2021_Kia_EV6_GT-Line_S.jpg,CC BY-SA 4.0,Vauxford
Kia EV9,Kia_EV9_1X7A2472.jpg,CC BY-SA 4.0,Alexander-93
Kia K4,"2025_Kia_K4_LX_in_Azure_Blue,_front_right,_2024-10-12.jpg",CC BY-SA 4.0,Elise240SX
Kia Seltos,Kia_Seltos_SP2_PE_Snow_White_Pearl_(17)_(cropped).jpg,CC BY-SA 4.0,Damian B Oh
Kia Sorento,"2024_Kia_Sorento_X-Line_SX_Prestige_(facelift),_front_12.20.24.jpg",CC BY-SA 4.0,Kevauto
Kia Sportage,2025_Kia_Sportage_S_front_only.jpg,CC BY-SA 4.0,LuvsMG481
Lexus RZ,Lexus_RZ_300e_(XEBM10)_IMG_6622.jpg,CC BY-SA 4.0,Alexander Migl
Lynk & Co 06,Lynk_&_Co_06_PHEV_IMG01_(cropped).jpg,CC BY-SA 4.0,Quzhouliulian
Lynk & Co 08,2023_Lynk_&_Co_08.jpg,CC BY-SA 4.0,User3204
Lynk & Co 900,(CHN-Hubei)_Showcar_Lynk_&_Co_900_No-plate_2025-12-16.jpg,CC BY 4.0,S5A-0043
Mazda 3,Mazda3_SKYACTIV-G.jpg,CC0,TTTNIS
Mercedes-Benz B-Class,Mercedes-Benz_W247_IMG_0398.jpg,CC BY-SA 4.0,Alexander Migl
Mercedes-Benz C-Class,Mercedes-Benz_W206_IMG_6380.jpg,CC BY-SA 4.0,Alexander Migl
Mercedes-Benz CLA,Mercedes-Benz_C118_IMG_2673.jpg,CC BY-SA 4.0,Alexander Migl
Mercedes-Benz E-Class,Mercedes-Benz_W214_1X7A1841.jpg,CC BY-SA 4.0,Alexander-93
Mercedes-Benz EQA,Mercedes-Benz_H243_IMG_5876.jpg,CC BY-SA 4.0,Alexander Migl
Mercedes-Benz EQB,Mercedes-Benz_X243_300_1X7A0422.jpg,CC BY-SA 4.0,Alexander Migl
Mercedes-Benz EQS SUV,Mercedes-Benz_X296_1X7A1725.jpg,CC BY-SA 4.0,Alexander-93
Mercedes-Benz GLA,Mercedes-Benz_GLA_250_e_AMG_Line_(H_247)_–_f_11042021_(exposure_adjusted).jpg,CC BY-SA 3.0 de,M 93
Mercedes-Benz GLC,Mercedes-Benz_X254_1X7A6343.jpg,CC BY-SA 4.0,Alexander Migl
Mercedes-Benz GLE,Mercedes-Benz_GLE_350_d_4MATIC_AMG_Line_(V_167)_–_f_18042021.jpg,CC BY-SA 3.0 de,M 93
Mercedes-Benz GLS,Mercedes-Benz_X167_IMG_5259.jpg,CC BY-SA 4.0,Alexander Migl
MG 6,MG_6_Pro_004_(cropped).jpg,CC BY-SA 4.0,JustAnotherCarDesigner
MG 7,MG_7_II_012_(cropped).jpg,CC0,JustAnotherCarDesigner
MG HS,MG_HS_Hybrid+_Luxury_(II)_–_f_12032026.jpg,CC BY-SA 3.0 de,M 93
MG One,MG_One_α_001_(cropped).jpg,CC BY-SA 4.0,Jengtingchen
Mitsubishi Destinator,2025_Mitsubishi_Destinator_Ultimate_prototype_spec_(Indonesia)_front_view.jpg,CC BY-SA 4.0,Andra Febrian
Mitsubishi Eclipse Cross,"2023_Mitsubishi_Eclipse_Cross_SEL_Touring,_front_left.jpg",CC BY-SA 4.0,MercurySable99
Mitsubishi Mirage,"2021_Mitsubishi_Mirage_Carbonite_Edition_in_White_Diamond,_front_right.jpg",CC BY-SA 3.0,Mr.choppers
Mitsubishi Outlander,2025_Mitsubishi_Outlander_PHEV_(fourth_generation)_IMG_3129.jpg,CC BY-SA 4.0,Alexander Migl
Nissan Juke,Nissan_Juke_(F16)_IMG_4903.jpg,CC BY-SA 4.0,Alexander Migl
Nissan Magnite,Nissan_Magnite_2025_1.0_Exclusive_at_WTC_Montevideo_-_04.jpg,CC BY-SA 4.0,NaBUru38
Nissan Qashqai,2024_Nissan_Qashqai_e-Power_IMG_2187.jpg,CC BY-SA 4.0,Alexander-93
Nissan Sentra,2024_Nissan_Sentra_(B18)_DSC_3754.jpg,CC BY-SA 4.0,Alexander Migl
Nissan X-Trail,Nissan_X-Trail_(T33)_1X7A7179.jpg,CC BY-SA 4.0,Alexander-93
Opel Crossland,Opel_Crossland_IMG_4132.jpg,CC BY-SA 4.0,Alexander Migl
Opel Mokka,Opel_Mokka-e_IMG_6111.jpg,CC BY-SA 4.0,Alexander Migl
Peugeot 3008,Peugeot_e-3008_Automesse_Ludwigsburg_2024_IMG_1537.jpg,CC BY-SA 4.0,Alexander-93
Peugeot 5008,Peugeot_5008_C_DSC_2949.jpg,CC BY-SA 4.0,Alexander Migl
Porsche Cayenne,"Porsche_Cayenne_(III,_Facelift)_–_f_01012025.jpg",CC BY-SA 3.0 de,M 93
Porsche Macan,Porsche_Macan_4_IMG_2153.jpg,CC BY-SA 4.0,Alexander-93
Renault Austral,Renault_Austral_1X7A6753.jpg,CC BY-SA 4.0,Alexander-93
Renault Kardian,Renault_Kardian_2024_Evolution_1.0_TCe_in_Montevideo_(front)_01.jpg,CC BY-SA 4.0,NaBUru38
Skoda KAROQ,Skoda_Karoq_–_f_18042025.jpg,CC BY-SA 3.0 de,M 93
Skoda KODIAQ,Škoda_Kodiaq_II_IMG_9825.jpg,CC BY-SA 4.0,Alexander-93
Skoda Octavia,Skoda_Octavia_IV_liftback_(cropped).jpg,CC BY-SA 4.0,Mike-fiesta
Skoda Superb,Skoda_Superb_L&K_(IV)_–_f_12042026.jpg,CC BY-SA 3.0 de,M 93
Suzuki Ertiga,Suzuki_Ertiga_NC_FL_1.5_GLX_Hybrid_Snow_White_Pearl.jpg,CC BY-SA 4.0,Ethan Llamas
Suzuki Fronx,2024_Suzuki_Fronx.jpg,CC0,TTTNIS
Suzuki S-Presso,Suzuki_S-Presso_–_Dubai_(cropped).jpg,CC0,Abdulla Al Muhairi
Suzuki Swift,Suzuki_Swift_(2024)_hybrid_DSC_6076.jpg,CC BY-SA 4.0,Alexander-93
Tesla Model Y,Tesla_Model_Y_Premium_(Facelift)_–_f_05052026.jpg,CC BY-SA 3.0 de,M 93
Toyota bZ4X,Toyota_bZ4X_Automesse_Ludwigsburg_2022_1X7A5895.jpg,CC BY-SA 4.0,Alexander Migl
Toyota Corolla,Toyota_Corolla_Hybrid_(E210)_IMG_4338.jpg,CC BY-SA 4.0,Alexander Migl
Volkswagen Passat,VW_Passat_Variant_Elegance_(B9)_–_f_18052025.jpg,CC BY-SA 3.0 de,M 93
Volkswagen T-Roc,VW_T-Roc_1.5_eTSI_Style_(II)_–_f_05052026.jpg,CC BY-SA 3.0 de,M 93
Volkswagen Tayron,VW_Tayron_1.5_eTSI_Elegance_–_f_28022026.jpg,CC BY-SA 3.0 de,M 93
Volkswagen Tiguan,Volkswagen_Tiguan_III_IMG_8823_(cropped).jpg,CC BY-SA 4.0,Alexander-93
Volvo ES90,Volvo_ES90_Ultra_–_f_29032026.jpg,CC BY-SA 3.0 de,M 93
Volvo EX30,Volvo_EX30_IMG_8923.jpg,CC BY-SA 4.0,Alexander-93
Volvo EX90,Volvo_EX90_autoMOBIL_Tübingen_2025_DSC_2740.jpg,CC BY-SA 4.0,Alexander Migl
Volvo XC90,"Volvo_XC90_T8_AWD_Plug-in_Hybrid_Plus_(II,_2._Facelift)_–_f_03102025.jpg",CC BY-SA 3.0 de,M 93
Voyah Dream,2021_Voyah_Dreamer_(front).jpg,CC BY-SA 4.0,User3204
Voyah Free,(CHN-Shanghai)_Showcar_Voyah_Free+_No-plate_2025-12-21.jpg,CC BY 4.0,S5A-0043
Xiaomi SU7,(CHN-Shanghai)_Private_Xiaomi_SU7_沪A7WE106_2024-11-24.jpg,CC BY 4.0,S5A-0043
Xiaomi YU7,Xiaomi_YU7_Emerald_Green_Metallic_01.jpg,CC BY-SA 4.0,Ethan Llamas
XPeng G6,XPeng_G6_018_(cropped).jpg,CC0,JustAnotherCarDesigner
XPeng G7,XPeng_G7_001.jpg,CC0,KitsuneDP
XPeng G9,2022_XPeng_G9_(front).jpg,CC BY-SA 4.0,User3204
XPeng P7,XPeng_P7_II_MY2025_IMG03.jpg,CC0,Poprace
XPeng X9,XPeng_X9_003_(cropped).jpg,CC0,JustAnotherCarDesigner
Zeekr 9X,(CHN-Hubei)_Showcar_Zeekr_9X_No-plate_2025-12-16.jpg,CC BY 4.0,S5A-0043
Zeekr X,2023_Zeekr_X_(front).jpg,CC BY-SA 4.0,User3204
