model_id,slug,brand,model_name,id_status,notes
m_000001,kia-sportage,Kia,Sportage,PROVISIONAL,
m_000002,hyundai-tucson,Hyundai,Tucson,PROVISIONAL,
m_000003,volkswagen-tiguan,Volkswagen,Tiguan,PROVISIONAL,
m_000004,jetour-t2,Jetour,T2,PROVISIONAL,
m_000005,peugeot-3008,Peugeot,3008,PROVISIONAL,
m_000006,nissan-qashqai,Nissan,Qashqai,PROVISIONAL,
m_000007,opel-grandland,Opel,Grandland,PROVISIONAL,scrape spells it 'Grand Land' (ContactCars) and 'Grandland' (Hatla2ee)
m_000008,citroen-c5-aircross,Citroën,C5 Aircross,PROVISIONAL,registration link unresolved (see registration_aliases.csv)
m_000009,jetour-t1,Jetour,T1,PROVISIONAL,
m_000010,byd-song-plus,BYD,Song Plus,PROVISIONAL,
m_000011,chery-tiggo-8-pro-max,Chery,Tiggo 8 Pro Max,PROVISIONAL,
m_000012,renault-austral,Renault,Austral,PROVISIONAL,
m_000013,soueast-s09,Soueast,S09,PROVISIONAL,
m_000014,peugeot-5008,Peugeot,5008,PROVISIONAL,
m_000015,mitsubishi-eclipse-cross,Mitsubishi,Eclipse Cross,PROVISIONAL,
m_000016,kia-seltos,Kia,Seltos,PROVISIONAL,
m_000017,kgm-torres,KGM,Torres,PROVISIONAL,
m_000018,byd-sealion-6,BYD,Sealion 6,PROVISIONAL,
m_000019,soueast-s06,Soueast,S06,PROVISIONAL,
m_000020,mg-hs,MG,HS,PROVISIONAL,
m_000021,deepal-s05,Deepal,S05,PROVISIONAL,
m_000022,haval-h7,Haval,H7,PROVISIONAL,
m_000023,baic-bj30,BAIC,BJ30,PROVISIONAL,
m_000024,byd-song-l-dm-i,BYD,Song L DM-i,PROVISIONAL,registration link rejected (powertrain mismatch)
