review_id,kind,key,detail,suggestion,blocks_mapping,status
R-35119fce7e8e,brand_sub_brand_overlap,dongfeng | dongfeng-aeolus,"""Dongfeng Aeolus"" looks like a sub-brand of ""Dongfeng""; model keys under both: ['hugehybrid']","decide: sub-brand as its own brand, or brand alias (then duplicate models merge via model_aliases)",yes,open
R-b2b110b87666,candidate_unmapped,BMW | ~30 model lines (118i through 760i/i-Series/M-Series/X-Series),"covers 4 name(s); matched none; unmatched ['~30 model lines (118i through 760i', 'i-Series', 'M-Series', 'X-Series)']","split candidate row per model, or map to an existing model",yes,open
R-62054483c97e,candidate_unmapped,Baic | X35 / X3,"covers 2 name(s); matched ['baic/x3', 'baic/x35']; unmatched []","split candidate row per model, or map to an existing model",yes,open
R-233f7d8a4578,candidate_unmapped,Dongfeng | Aeolus e70 pro / Aeolus A30 / HUGE-Hybrid,"covers 3 name(s); matched ['dongfeng/aeolus-a30', 'dongfeng/aeolus-e70-pro', 'dongfeng/huge-hybrid']; unmatched []","split candidate row per model, or map to an existing model",yes,open
R-2459f17722b8,candidate_unmapped,GAC | Aion LX / Aion Y,"covers 2 name(s); matched ['gac/aion-lx', 'gac/aion-y']; unmatched []","split candidate row per model, or map to an existing model",yes,open
R-af69206e6e11,candidate_unmapped,GAC | GS3 Emzoom / EMZOOM,"covers 2 name(s); matched ['gac/emzoom', 'gac/gs3-emzoom']; unmatched []","split candidate row per model, or map to an existing model",yes,open
R-728f964d0266,candidate_unmapped,Land Rover | Velar/Discovery/Discovery Sport/Range Rover Sport/Range Rover Vogue,"covers 5 name(s); matched ['land-rover/discovery', 'land-rover/discovery-sport', 'land-rover/range-rover-sport', 'land-rover/range-rover-vogue', 'land-rover/velar']; unmatched []","split candidate row per model, or map to an existing model",yes,open
R-db75dd1176e6,candidate_unmapped,Subaru | XV Crosstrek / Crosstrek,"covers 2 name(s); matched ['subaru/crosstrek', 'subaru/xv-crosstrek']; unmatched []","split candidate row per model, or map to an existing model",yes,open
R-ed88793bb0f8,candidate_unmapped,Volkswagen | ID.4 Crozz / ID.4 / ID.6 Crozz / id7 / ID-ERA 9X,"covers 5 name(s); matched ['volkswagen/id-4', 'volkswagen/id-4-crozz', 'volkswagen/id-6-crozz', 'volkswagen/id-era-9x', 'volkswagen/id7']; unmatched []","split candidate row per model, or map to an existing model",yes,open
R-8340425fd412,body_type_check,bmw/m850i,"trims carry different body types: {'coupe': 1, 'convertible': 1}",legitimate body styles (keep as variant observations) OR misclassification (correct at source mapping),no,open
R-edc6d4ae8b70,body_type_check,kia/carnival,"trims carry different body types: {'van': 1, 'suv': 1}",legitimate body styles (keep as variant observations) OR misclassification (correct at source mapping),no,open
R-41c06763ead8,body_type_check,kia/ev6,"trims carry different body types: {'hatchback': 2, 'suv': 2}",legitimate body styles (keep as variant observations) OR misclassification (correct at source mapping),no,open
R-1421458d8920,body_type_check,mazda/3,"trims carry different body types: {'sedan': 2, 'hatchback': 3}",legitimate body styles (keep as variant observations) OR misclassification (correct at source mapping),no,open
R-a7dfe017d3cc,body_type_check,mini/cooper,"trims carry different body types: {'hatchback': 8, 'convertible': 1}",legitimate body styles (keep as variant observations) OR misclassification (correct at source mapping),no,open
R-c1b6a508c38f,brand_spelling_normalized,brand:jac,"spellings {'Jac': 12, 'JAC': 2} -> ""JAC"" (jac)",confirm display name,no,open
R-1dd9ea616295,brand_spelling_normalized,brand:xpeng,"spellings {'Xpeng': 11, 'XPENG': 8} -> ""XPENG"" (xpeng)",confirm display name,no,open
R-96fb505b6358,candidate_price_not_in_master,arcfox/kaola-s (candidate line 263),mixed / unexplained,"regenerate candidate prices from master, or record the source/date the candidate price came from",no,open
R-8acb309aed6d,candidate_price_not_in_master,audi/rs-e-tron-gt (candidate line 223),all candidate prices higher than nearest master price,"regenerate candidate prices from master, or record the source/date the candidate price came from",no,open
R-f23220158b57,candidate_price_not_in_master,bestune/b70 (candidate line 337),all candidate prices higher than nearest master price,"regenerate candidate prices from master, or record the source/date the candidate price came from",no,open
R-96ea1bde819d,candidate_price_not_in_master,bestune/t77-pro (candidate line 335),all candidate prices higher than nearest master price,"regenerate candidate prices from master, or record the source/date the candidate price came from",no,open
R-a460b5ef8d28,candidate_price_not_in_master,cadillac/lyriq (candidate line 331),"rounding (<= max(1,000 EGP, 0.1%))","regenerate candidate prices from master, or record the source/date the candidate price came from",no,open
R-1ce17ad4921b,candidate_price_not_in_master,cadillac/optiq (candidate line 330),"rounding (<= max(1,000 EGP, 0.1%))","regenerate candidate prices from master, or record the source/date the candidate price came from",no,open
R-519f4db76282,candidate_price_not_in_master,chery/arrizo-5 (candidate line 82),mixed / unexplained,"regenerate candidate prices from master, or record the source/date the candidate price came from",no,open
R-f16853f30501,candidate_price_not_in_master,chery/arrizo-8 (candidate line 84),all candidate prices lower than nearest master price,"regenerate candidate prices from master, or record the source/date the candidate price came from",no,open
R-79d51e60d4ea,candidate_price_not_in_master,chery/eq7 (candidate line 95),all candidate prices higher than nearest master price,"regenerate candidate prices from master, or record the source/date the candidate price came from",no,open
R-58edf235e324,candidate_price_not_in_master,chery/tiggo-7 (candidate line 88),mixed / unexplained,"regenerate candidate prices from master, or record the source/date the candidate price came from",no,open
R-055c01fd600c,candidate_price_not_in_master,chery/tiggo-7-pro (candidate line 89),mixed / unexplained,"regenerate candidate prices from master, or record the source/date the candidate price came from",no,open
R-97b49435e744,candidate_price_not_in_master,chery/tiggo-7-pro-max (candidate line 90),mixed / unexplained,"regenerate candidate prices from master, or record the source/date the candidate price came from",no,open
R-e52e86cd51f4,candidate_price_not_in_master,chery/tiggo-8 (candidate line 91),all candidate prices higher than nearest master price,"regenerate candidate prices from master, or record the source/date the candidate price came from",no,open
R-9fbfab376fd7,candidate_price_not_in_master,chery/tiggo-8-pro (candidate line 92),all candidate prices higher than nearest master price,"regenerate candidate prices from master, or record the source/date the candidate price came from",no,open
R-15091ef90392,candidate_price_not_in_master,chery/tiggo-8-pro-max (candidate line 93),all candidate prices higher than nearest master price,"regenerate candidate prices from master, or record the source/date the candidate price came from",no,open
R-87e37c7cc869,candidate_price_not_in_master,chery/tiggo-9 (candidate line 94),all candidate prices higher than nearest master price,"regenerate candidate prices from master, or record the source/date the candidate price came from",no,open
R-a62986710af9,candidate_price_not_in_master,citroen/c4 (candidate line 271),all candidate prices lower than nearest master price,"regenerate candidate prices from master, or record the source/date the candidate price came from",no,open
R-76665409f63a,candidate_price_not_in_master,dongfeng-aeolus/huge-hybrid (candidate line 468),all candidate prices lower than nearest master price,"regenerate candidate prices from master, or record the source/date the candidate price came from",no,open
R-6c70c4a48de7,candidate_price_not_in_master,ds/ds4 (candidate line 338),all candidate prices higher than nearest master price,"regenerate candidate prices from master, or record the source/date the candidate price came from",no,open
R-b49bdc152532,candidate_price_not_in_master,genesis/g80 (candidate line 252),all candidate prices higher than nearest master price,"regenerate candidate prices from master, or record the source/date the candidate price came from",no,open
R-0e95e125cd7d,candidate_price_not_in_master,honda/cr-v (candidate line 362),all candidate prices lower than nearest master price,"regenerate candidate prices from master, or record the source/date the candidate price came from",no,open
R-455b28ac5ee2,candidate_price_not_in_master,hyundai/accent-rb (candidate line 96),all candidate prices lower than nearest master price,"regenerate candidate prices from master, or record the source/date the candidate price came from",no,open
R-51f309e41291,candidate_price_not_in_master,jac/j7 (candidate line 302),"rounding (<= max(1,000 EGP, 0.1%))","regenerate candidate prices from master, or record the source/date the candidate price came from",no,open
R-0f991ca40e3a,candidate_price_not_in_master,jac/js4 (candidate line 303),"rounding (<= max(1,000 EGP, 0.1%))","regenerate candidate prices from master, or record the source/date the candidate price came from",no,open
R-a89892511fc4,candidate_price_not_in_master,jac/s2 (candidate line 301),"rounding (<= max(1,000 EGP, 0.1%))","regenerate candidate prices from master, or record the source/date the candidate price came from",no,open
R-6e1824e96353,candidate_price_not_in_master,jaguar/f-pace (candidate line 341),all candidate prices higher than nearest master price,"regenerate candidate prices from master, or record the source/date the candidate price came from",no,open
R-250d89b14ec5,candidate_price_not_in_master,maserati/grecale (candidate line 375),all candidate prices lower than nearest master price,"regenerate candidate prices from master, or record the source/date the candidate price came from",no,open
R-eb1307fe4557,candidate_price_not_in_master,porsche/911 (candidate line 236),mixed / unexplained,"regenerate candidate prices from master, or record the source/date the candidate price came from",no,open
R-f9feeb9d654b,candidate_price_not_in_master,porsche/cayenne (candidate line 234),all candidate prices lower than nearest master price,"regenerate candidate prices from master, or record the source/date the candidate price came from",no,open
R-6a809ace402a,candidate_price_not_in_master,smart/1 (candidate line 238),all candidate prices higher than nearest master price,"regenerate candidate prices from master, or record the source/date the candidate price came from",no,open
R-baf36bb1d484,candidate_price_not_in_master,smart/3 (candidate line 239),all candidate prices higher than nearest master price,"regenerate candidate prices from master, or record the source/date the candidate price came from",no,open
R-df1e4d73b8dd,candidate_price_not_in_master,soueast/s-08-dm (candidate line 58),"rounding (<= max(1,000 EGP, 0.1%))","regenerate candidate prices from master, or record the source/date the candidate price came from",no,open
R-3e9d381886f3,cohort_exception_candidate,baic/bj30,"trims differ in powertrain: {'petrol': 1, 'hev': 2}",keep as variant observations (default) OR approve a cohort exception if the architecture differs,no,open
R-be71295ffb52,cohort_exception_candidate,byd/sealion-6,"trims differ in powertrain: {'bev': 2, 'phev': 2}",keep as variant observations (default) OR approve a cohort exception if the architecture differs,no,open
R-8c3ee6b86bf4,cohort_exception_candidate,changan/cs55-plus,"trims differ in powertrain: {'petrol': 3, 'diesel': 2}",keep as variant observations (default) OR approve a cohort exception if the architecture differs,no,open
R-31e70319a1a2,cohort_exception_candidate,chery/tiggo-7-pro (candidate line 89),candidate notes describe a separate cohort/generation,decide: same model (attribute) or cohort exception,no,open
R-8068d072234f,cohort_exception_candidate,deepal/s-05,"trims differ in powertrain: {'phev': 1, 'bev': 1}",keep as variant observations (default) OR approve a cohort exception if the architecture differs,no,open
R-2d2ecf9020de,cohort_exception_candidate,deepal/s-07,"trims differ in powertrain: {'phev': 1, 'bev': 1}",keep as variant observations (default) OR approve a cohort exception if the architecture differs,no,open
R-cf09844e56a7,cohort_exception_candidate,forthing/s7,"trims differ in powertrain: {'bev': 1, 'phev': 1}",keep as variant observations (default) OR approve a cohort exception if the architecture differs,no,open
R-685e13179fbe,cohort_exception_candidate,forthing/t5,"trims differ in powertrain: {'petrol': 1, 'bev': 1, 'phev': 1}",keep as variant observations (default) OR approve a cohort exception if the architecture differs,no,open
